english	ukrainian	gender	note
Dazzle Beach	Сліпучий пляж	m	
Frosted Heights	Засніжені висоти	pl	
Sunlit Plateau	Сонячне плато	n	
Forgotten Lands	Забуті землі	pl	
Glade of Trust	Поляна Довіри	f	
Peaceful Meadow	Мирна галявина	f	
Forest of Valor	Ліс Доблесті	m	
Plaza	Площа	f	
Beach Island	Сліпучий острів	m	island = biome adjective + острів
Forest Island	Острів Доблесті	m	
Meadow Island	Мирний острів	m	
Sunlit Island	Сонячний острів	m	
Frosted Island	Засніжений острів	m	
Plaza Island	Острів Площі	m	
Glade Island	Острів Довіри	m	
Forgotten Island	Забутий острів	m	
Ancient Island	Давній острів	m	
Glittering Island	Блискучий острів	m	
Tangled Island	Острів Диких Хащів	m	
Everafter Island	Острів Вічноказки	m	
Mythopia Island	Острів Міфопії	m	
The Bind Island	Острів Палітурки	m	
Mystery Island	Таємничий острів	m	
Moontide Island	Острів Місячного Припливу	m	
Moontide Glow	Сяйво Місячного Припливу	n	
Glowing Algae	Сяйливі водорості	pl	
Dog Pound	Собачий притулок	m	
Mystical Cave	Містична печера	f	
Ice Cavern	Крижана печера	f	
Crystal Cavern	Кришталева печера	f	
Crystal Key	Кришталевий ключ	m	
Cursed Cave	Проклята печера	f	
Dark Castle	Темний замок	m	
Dark Grove	Темний гай	m	
Dark Portal	Темний портал	m	
Secluded Beach	Відлюдний пляж	m	
Sacred Spring	Священне джерело	n	
Water Tower	Водонапірна вежа	f	
Chez Remy	«У Ремі»	-	restaurant name, keep quotes: у ресторані «У Ремі»
Chez Remy Mobile	«У Ремі» на колесах	-	
Remy's Restaurant	Ресторан Ремі	m	
Scrooge's Store	Магазин Скруджа	m	
General Store	Магазин	m	Scrooge McDuck's General Store = Магазин Скруджа Макдака
Goofy's Stall	Ятка Гуфі	f	stall = ятка
Gem Stall	Ятка самоцвітів	f	
Tiana's Meal Stall	Закусочна Тіани	f	
Tiana's Palace	Палац Тіани	m	
Lost-and-Found Kiosk	Бюро знахідок	n	
Mickey's House	Будинок Міккі	m	pattern: X's House = Будинок X (Будинок Гуфі, Будинок Мінні...)
Minnie's House	Будинок Мінні	m	
Goofy's House	Будинок Гуфі	m	
Donald's House	Будинок Дональда	m	
Daisy's House	Будинок Дейзі	m	
Remy's House	Будинок Ремі	m	
Pooh's House	Будинок Пуха	m	
Piglet's House	Будинок П'ятачка	m	
Tigger's House	Будинок Тигри	m	
Busy Bees' House	Будиночок Бджілок-трудівниць	m	
Fairy Godmother's House	Будинок Хрещеної феї	m	
Rapunzel's Tower	Вежа Рапунцель	f	
Beast's Castle	Замок Звіра	m	
Beast's Greenhouse	Теплиця Звіра	f	
West Wing	Західне крило	n	
Scar's Cave	Печера Шрама	f	
Skull Rock	Скеля-Череп	f	
Pride Rock	Скеля Прайду	f	
Elephant Graveyard	Слоняче кладовище	n	
Lioness Statues	Статуї левиць	pl	
Cave of Wonders	Печера Чудес	f	
South Market	Південний ринок	m	
Artisans' District	Квартал ремісників	m	
Pocahontas's Yehakin	Єгакін Покахонтас	m	
Mini-Casita	Міні-Касіта	f	
Never Land	Небувалія	f	Peter Pan's island (у Небувалії)
Never Land River	Річка Небувалії	f	
Halloween Town	Місто Гелловіну	n	
Enchanted Forest	Зачарований ліс	m	
Giant Willow	Велетенська верба	f	
Giant Willow Tree	Велетенська верба	f	
Queen's Garden	Сад Королеви	m	
Laugh Floor	Поверх Сміху	m	Monsters, Inc.
Remote Headquarters	Віддалений штаб	m	Inside Out
Headquarters	Штаб	m	Inside Out
Long Term Memory	Довготривала пам'ять	f	
Dream Productions	«Студія снів»	f	Inside Out
Dream Production	«Студія снів»	f	
Imagination Land Arch	Арка Країни Уяви	f	
Stardust Port	Порт Зоряного Пилу	m	
Honored Place	Почесне місце	n	
Thoughtful Spot	Місце для роздумів	n	Pooh
Ancient's Landing	Пристань Давніх	f	Ancient(s) = Давній/Давні throughout Eternity Isle
The Ancients	Давні	pl	the vanished civilization
Ancients	Давні	pl	
Glittering Dunes	Блискучі дюни	pl	
Wild Tangle	Дикі хащі	pl	у Диких хащах
The Docks	Причал	m	
The Courtyard	Внутрішній двір	m	
The Overlook	Оглядовий майданчик	m	
The Ruins	Руїни	pl	
Ancient Ruins	Давні руїни	pl	
The Plains	Рівнини	pl	
The Wastes	Пустища	pl	
The Oasis	Оаза	f	
The Borderlands	Прикордоння	n	
Vitalys Mines	Шахти Віталіс	pl	
Vitalys Crystals	Кристали Віталіс	pl	
Vitalys Crystal	Кристал Віталіс	m	
Time Rift	Часовий розлом	m	
Time Rifts	Часові розломи	pl	
Jewel of Time	Коштовність Часу	f	
Timebending	Викривлення часу	n	
Timebending Table	Стіл викривлення часу	m	
Timebending Part	Деталь викривлення часу	f	
Royal Hourglass	Королівський пісочний годинник	m	
Hourglass	Пісочний годинник	m	
Old Ruler	Старий Правитель	m	
Old Ruler's Lost Diaries	Загублені щоденники Старого Правителя	pl	
Ancient Core	Давнє ядро	n	
Cores	Ядра	pl	
Ancient Parts	Давні деталі	pl	
Ancient Machine	Давній механізм	m	
Ancient Door	Давні двері	pl	
Ancient Gemstones	Давні самоцвіти	pl	
Ancient Civilization	Давня цивілізація	f	
Scarab Key	Ключ-скарабей	m	
Earth Giant	Земляний велетень	m	
Sun Core	Сонячне ядро	n	
Sun's Scroll	Сувій Сонця	m	
Sunlight Torches	Смолоскипи сонячного світла	pl	
Dawn Fragment	Уламок Світанку	m	
Dusk Fragment	Уламок Сутінків	m	
Wild Woods	Дикі ліси	pl	
The Wild Woods	Дикі ліси	pl	
The Wolf of the Wilds	Вовк із Диких лісів	m	speaker: male (Flynn under a curse)
Teapot Falls	Чайниковий водоспад	m	
The Fallen Fortress	Занепала фортеця	f	
Fallen Fortress	Занепала фортеця	f	
The Beanstalk Marshes	Болота Бобового Стебла	pl	
The Grasslands	Луки	pl	
The Promenade	Променад	m	
The Grove	Гай	m	
The Lagoon	Лагуна	f	
The Library of Lore	Бібліотека Знань	f	
Library of Lore	Бібліотека Знань	f	
The Elysian Fields	Єлисейські поля	pl	
Elysian Fields	Єлисейські поля	pl	
The Fiery Plains	Вогняні рівнини	pl	
The Statue's Shadow	Тінь Статуї	f	
Mount Olympus	Гора Олімп	f	
Everywhere	Скрізь	-	map filter
Fairy Tale Trial	Казкове випробування	n	
Mythic Trial	Міфічне випробування	n	
The Chronicles	Хроніки	pl	
Rock Spots	Рудні жили	pl	mining spots
Wishblossom	Квітка Бажань	f	the wish flower; pl Квітки Бажань; in place names «Квітучих Бажань»
Wishblossoms	Квітки Бажань	pl	
Wishblossom Ranch	Ранчо Квітучих Бажань	n	indeclinable «ранчо»
Wishblossom Mountains	Гори Квітучих Бажань	pl	
Wishblossom Fair	Ярмарок Квітучих Бажань	m	
Wishblossom Heart	Серце Квітучих Бажань	n	
Wishblossom Horse	Кінь Квітучих Бажань	m	
Ranch Highlands	Високогір'я ранчо	n	
Silver Summit	Срібна вершина	f	
Delver Dale	Долина Дослідників	f	keeps the D-D alliteration
Wishing Way	Шлях Бажань	m	
Wishing Alps	Альпи Бажань	pl	
Wishing Well	Криниця бажань	f	
Careblossom	Квітка Турботи	f	pl Квітки Турботи
Careblossom Topiary	Топіарій «Квітка Турботи»	m	
Glamour Gulch	Гламурна ущелина	f	Cruella's region (у Гламурній ущелині)
De Vil Moor	Пустище Де Віль	n	Cruella's name for Glamour Gulch
Runway River	Річка Подіум	f	
Paisley Park	Парк Пейслі	m	
Modish Marsh	Модні мочари	pl	keeps the M-M alliteration; мочари = marshland
Haute Plateau	Плато От-кутюр	n	
Pixie Acres	Угіддя фей	pl	Tinker Bell region
Pixie Flats	Рівнини фей	pl	
Sundae Shores	Пломбірні береги	pl	
Pixie Dust	Пилок фей	m	
Pixie Dust Orbs	Кулі пилку фей	pl	
Honeyglow Woods	Медосяйний ліс	m	Pooh region; honey + glow
Honeyglow Tales	Медосяйні історії	pl	
Hundred-Acre Fields	Стоакрові поля	pl	from «Стоакровий ліс» (Hundred Acre Wood)
Hundred Acre Wood	Стоакровий ліс	m	
Hunny Falls	Медовий водоспад	m	
Drowsybloom Acre	Дрімоцвітний лан	m	
Gloommeadow	Похмурий луг	m	Eeyore's gloomy spot
Braveheart Grove	Гай Хороброго Серця	m	
Nectar Apiary	Нектарна пасіка	f	
Everoak Tree	Вічнодуб	m	ever + oak
Sun-Glow Honey	Сонцесяйний мед	m	
Sun-Glow Honeypot	Горщик сонцесяйного меду	m	
Golden Honey	Золотий мед	m	
Pooh Sticks	Пухопалички	pl	the stick-race game
Mickey Mouse	Міккі Маус	m	speaker: male
Mickey	Міккі	m	speaker: male; indeclinable
Minnie Mouse	Мінні Маус	f	speaker: female
Minnie	Мінні	f	speaker: female; indeclinable
Goofy	Гуфі	m	speaker: male; indeclinable
Donald Duck	Дональд Дак	m	speaker: male
Donald	Дональд	m	speaker: male
Daisy	Дейзі	f	speaker: female; indeclinable
Pluto	Плуто	m	dog companion; indeclinable (never «Плутон»)
Scrooge McDuck	Скрудж Макдак	m	speaker: male
Scrooge	Скрудж	m	speaker: male
Uncle Scrooge	дядько Скрудж	m	speaker: male
Oswald	Освальд	m	speaker: male
Oswald the Lucky Rabbit	Щасливий кролик Освальд	m	franchise tag
Merlin	Мерлін	m	speaker: male
Aladdin	Аладдін	m	speaker: male
Jasmine	Жасмин	f	speaker: female
Jafar	Джафар	m	speaker: male
Rajah	Раджа	m	tiger companion; male
Magic Carpet	Чарівний килим	m	companion
Alice	Аліса	f	speaker: female
Sad Alice	Сумна Аліса	f	speaker: female
Cheshire Cat	Чеширський Кіт	m	speaker: male
Beast	Звір	m	speaker: male (kept from old glossary; film title stays «Красуня і Чудовисько»)
The Beast	Звір	m	speaker: male
Belle	Белль	f	speaker: female; indeclinable
Mademoiselle Belle	мадемуазель Белль	f	
Cogsworth	Когсворт	m	speaker: male
Lumiere	Люм'єр	m	speaker: male
Gaston	Гастон	m	speaker: male
His Highness	Його Високість	f	= the Beast (as servants say it); agree verbs with the male Beast
Merida	Меріда	f	speaker: female
Clan DunBroch	клан Данброх	m	
Cinderella	Попелюшка	f	speaker: female
Fairy Godmother	Хрещена фея	f	speaker: female
The Fairy Godmother	Хрещена фея	f	speaker: female
Lucifer	Люцифер	m	cat companion; male
Cruella	Круелла	f	speaker: female
Cruella De Vil	Круелла Де Віль	f	speaker: female
Rude Raccoon	Єнот-грубіян	m	speaker: male
Here and There Raccoon	Єнот із «Тут-і-Там»	m	speaker: male
Glitchy Arcade Machine	Глюкавий ігровий автомат	m	speaker: male (object)
Pirate Parrot	Піратський папуга	m	speaker: male
Quiz Master	Ведучий вікторини	m	speaker: male
Maleficent	Малефісента	f	speaker: female
Maleficent's Raven	Ворон Малефісенти	m	speaker: male
Mistress of All Evil	Володарка всього зла	f	= Maleficent
Palace Raven	Палацовий ворон	m	speaker: male
Aurora	Аврора	f	speaker: female
Princess Aurora	принцеса Аврора	f	speaker: female
Flora	Флора	f	speaker: female
Fauna	Фауна	f	speaker: female
Merryweather	Меррівезер	f	speaker: female; indeclinable
Mama BallOOn	Мама-Кулька	f	speaker: female; balloon family: Мама-Кулька / Тато-Кулька / Сестричка-Кулька
Papa BallOOn	Тато-Кулька	m	speaker: male
Sister BallOOn	Сестричка-Кулька	f	speaker: female
Red BallOOn	Червона Кулька	f	speaker: female (inferred)
Hedgehog	Їжак	m	speaker: male
The Lorekeeper	Хранителька легенд	f	speaker: female
Lorekeeper	Хранителька легенд	f	speaker: female
Lorekeeper Tales	Оповіді Хранительки легенд	pl	
Deep Dark Secret Goose	Гуска Глибокої Темної Таємниці	f	speaker: female
Boss Monkey	Мавпа-ватажок	f	speaker: male (noun is f: «Мавпа-ватажок сказав» — agree with the character)
Strange Mirror	Дивне дзеркало	n	speaker: male (inferred; use m verbs)
Oogie Boogie	Угі-Бугі	m	speaker: male; indeclinable
Pegasus	Пегас	m	horse; male
Peter Pan	Пітер Пен	m	speaker: male; NEVER Петро
Peter Pan's Shadow	Тінь Пітера Пена	f	silent; noun f
Tinker Bell	Дзвіночок	m	speaker: female; noun declines as m (Дзвіночка) but agree verbs/adjectives as female: «фея Дзвіночок сказала»
Lost Boys	Загублені хлопчики	pl	
Jade Skulls	Нефритові черепи	pl	speaker: male plural (pirate skulls)
Moana	Моана	f	speaker: female
Moana's Boat	Човен Моани	m	
Maui	Мауї	m	speaker: male; indeclinable
Heihei	Хей-Хей	m	rooster companion
Pua	Пуа	m	piglet companion
Rabbit	Кролик	m	speaker: male (Pooh's Rabbit)
Mister Snugglepaws	Містер Обіймилапка	m	speaker: male (a skunk); Обіймилапки in oblique cases
Magic Quill	Чарівне перо	n	speaker: male (use m verbs)
Singing Daffodil	Співочий нарцис	m	speaker: male (inferred)
Professor Mouffette	Професор Муфетт	m	speaker: male (skunk)
Curious Flower	Допитлива квітка	f	speaker: female
Flower	Квітка	f	speaker: female
Pencil Bird	Пташка-олівець	f	speaker: female (inferred)
The Typewriter	Друкарська машинка	f	speaker: female (game speaker data)
Wishblossom of Ambition	Квітка Бажань Амбіцій	f	speaker: male (game speaker data) — first-person forms masculine; the noun stays f in 3rd person (Квітка сказала)
Wishblossom of Dreams	Квітка Бажань Мрій	f	speaker: male (game speaker data) — first-person forms masculine; the noun stays f in 3rd person (Квітка сказала)
Wishblossom of Hope	Квітка Бажань Надії	f	speaker: male (game speaker data) — first-person forms masculine; the noun stays f in 3rd person (Квітка сказала)
Fading Wishblossom	Зів'яла Квітка Бажань	f	speaker: male (game speaker data) — first-person forms masculine; the noun stays f in 3rd person (Квітка сказала)
Giant Wishblossom	Велетенська Квітка Бажань	f	speaker: male (game speaker data) — first-person forms masculine; the noun stays f in 3rd person (Квітка сказала)
Mirabel	Мірабель	f	speaker: female
Anna	Анна	f	speaker: female
Elsa	Ельза	f	speaker: female
Kristoff	Крістоф	m	speaker: male
Olaf	Олаф	m	speaker: male
Sven	Свен	m	reindeer companion; male
Hades	Аїд	m	speaker: male
Hercules	Геркулес	m	speaker: male
Phil	Філ	m	speaker: male
Joy	Радість	f	speaker: female
Sadness	Сум	m	speaker: female (noun is m; agree verbs with the female character: «Сум сказала»)
Lady	Леді	f	speaker: female; indeclinable
Tramp	Блудько	m	speaker: male (Ukrainian dub name)
Jim Dear	Любий Джим	m	Lady's owner; nickname
Ariel	Аріель	f	speaker: female
Prince Eric	принц Ерік	m	speaker: male
Ursula	Урсула	f	speaker: female
Sea Witch	Морська відьма	f	= Ursula
Stitch	Стіч	m	speaker: male
Nala	Нала	f	speaker: female
Pumbaa	Пумба	m	speaker: male
Scar	Шрам	m	speaker: male
Simba	Сімба	m	speaker: male
Timon	Тімон	m	speaker: male
Rafiki	Рафікі	m	male
Mike Wazowski	Майк Вазовскі	m	speaker: male
Sulley	Саллі	m	speaker: male (Monsters, Inc.)
Boo	Бу	f	girl from Monsters, Inc.
Mulan	Мулан	f	speaker: female
Mushu	Мушу	m	speaker: male
Jack Skellington	Джек Скеллінгтон	m	speaker: male
Pumpkin King	Гарбузовий Король	m	= Jack
Sally	Селлі	f	speaker: female (Nightmare Before Christmas); «Селлі», not «Саллі», so she never collides with Sulley
Zero	Зеро	m	ghost dog; indeclinable
Tinker Bell Capybara	Капібара Дзвіночок	f	
Pocahontas	Покахонтас	f	speaker: female
Meeko	Міко	m	raccoon companion
Percy	Персі	m	dog companion
Tiana	Тіана	f	speaker: female
Little Louis	Малий Луї	m	alligator; male
La Dame Blanche	Біла Пані	f	spirit; female
Ralph	Ральф	m	speaker: male
Wreck-It Ralph	Ральф-руйнівник	m	character epithet AND film/realm tag (one form)
Vanellope	Ванеллопа	f	speaker: female
Vanellope von Schweetz	Ванеллопа фон Кекс	f	speaker: female
Fix-It Felix Jr.	Фелікс-майстер молодший	m	speaker: male
Remy	Ремі	m	speaker: male; indeclinable
Snow White	Білосніжка	f	speaker: female
Flynn	Флін	m	speaker: male
Flynn Rider	Флін Райдер	m	speaker: male
Mother Gothel	Мати Готель	f	speaker: female
Rapunzel	Рапунцель	f	speaker: female; indeclinable
Maximus	Максимус	m	horse; male
Buzz Lightyear	Базз Рятівник	m	speaker: male (Ukrainian dub name)
Buzz	Базз	m	speaker: male
Woody	Вуді	m	speaker: male
Space Ranger	космічний рейнджер	m	
Space Rangers	космічні рейнджери	pl	
Star Command	Зоряне командування	n	
Alien Toys	Іграшкові прибульці	pl	
EVE	ЄВА	f	speaker: female
WALL·E	ВОЛЛ·І	m	speaker: male
Winnie the Pooh	Вінні Пух	m	speaker: male
Pooh Bear	ведмедик Пух	m	speaker: male
Pooh	Пух	m	speaker: male
Eeyore	Іа-Іа	m	speaker: male; indeclinable
Piglet	П'ятачок	m	speaker: male
Tigger	Тигра	m	speaker: male (Тигри, Тигрі)
Christopher Robin	Крістофер Робін	m	speaker: male
Dinah	Діна	f	cat companion
Figaro	Фігаро	m	cat companion
Lucky	Лакі	m	Dalmatian puppy; name, not «Щасливий»
Max	Макс	m	dog companion
Nana	Нана	f	dog companion
Khan	Хан	m	horse companion
Star Coin	Зоряна монета	f	
Star Coins	Зоряні монети	pl	
Moonstone	Місячний камінь	m	
Moonstones	Місячні камені	pl	
Daisy Coin	Монета Дейзі	f	
Daisy Coins	Монети Дейзі	pl	
Dust	Пил	m	
Pixel Dust	Піксельний пил	m	
Heart	Серце	n	
Hearts	Серця	pl	
Mist	Туман	m	Eternity Isle currency
Mists	Тумани	pl	
Shards	Осколки	pl	character-unlock shards: Осколки X
Boo Shards	Осколки Бу	pl	
Bo Peep Shards	Осколки Бо Піп	pl	
Mickey Mouse Shards	Осколки Міккі Мауса	pl	
Minnie Mouse Shards	Осколки Мінні Маус	pl	
Olaf Shards	Осколки Олафа	pl	
Rafiki Shards	Осколки Рафікі	pl	
Shank Shards	Осколки Шенк	pl	Shank = racer from Ralph Breaks the Internet (female)
Wish Token	Жетон бажань	m	
Wish Tokens	Жетони бажань	pl	
Event Tokens	Жетони події	pl	
Gifts	Подарунки	pl	
Tickets	Квитки	pl	
Lucky Wheel	Колесо удачі	n	
Lucky Wheel Ticket	Квиток Колеса удачі	m	
Star Path	Зоряний шлях	m	
Disney Parks Star Path	Зоряний шлях «Парки Disney»	m	
Event Board	Дошка подій	f	
Event Duties	Обов'язки події	pl	
Premium Shop	Преміум-магазин	m	
Photo Mode	Фоторежим	m	
Friendship Level	Рівень дружби	m	
Best Friend	Найкращий друг	m	
Friendship Ball	Бал Дружби	m	
Crafting Station	Станція для виготовлення	f	
Uncrafting Station	Станція розбирання	f	
Cooking Station	Кулінарна станція	f	
Valley Visits	Відвідини Долини	pl	
Valley Visit Station	Станція відвідин	f	
Visit Station	Станція відвідин	f	
Do-Gooder Trophy	Трофей Добродія	m	
Grand Exhibition	Велика виставка	f	
Floating Festival	Плавучий фестиваль	m	
Haunted Floating Festival	Моторошний Плавучий фестиваль	m	
Winter Floating Festival	Зимовий Плавучий фестиваль	m	
Floating Festival Pouch	Торбинка Плавучого фестивалю	f	
Diorama	Діорама	f	
Decor Preset	Шаблон декору	m	
Memory	Спогад	m	
Quest	Завдання	n	in UI; «квест» is not used
Quests	Завдання	pl	
Inventory	Інвентар	m	
Backpack	Рюкзак	m	
Wardrobe	Гардероб	m	
Snippet	Клаптик	m	Storybook Vale critter-snippets; pl Клаптики
Snippets	Клаптики	pl	
Bird Snippet	Пташиний клаптик	m	
Frog Snippet	Жаб'ячий клаптик	m	
Frog Snippets	Жаб'ячі клаптики	pl	
Demon Snippet	Чортячий клаптик	m	"kid-friendly ""demon"""
Dream Style	Стиль мрії	m	
Dream Styles	Стилі мрії	pl	
Showcase Stream	трансляція-презентація	f	
Team Feed	Стрічка команди	f	
DreamTeams	DreamTeams	-	brand feature name — keep Latin
Virtual Items	Віртуальні предмети	pl	
User Content	Вміст користувачів	m	
Your Content	Твій вміст	m	
Community Safety	Безпека спільноти	f	
Privacy Policy	Політика конфіденційності	f	
Customer Care	Служба підтримки	f	
Contact Customer Care	Зв'язатися зі службою підтримки	-	
Main Menu	Головне меню	n	
House Bundle	Набір будинку	m	
Furniture Update	Оновлення меблів	n	
Clothing Update	Оновлення одягу	n	
Grand Opening	Урочисте відкриття	n	
Limited-Time Deals	Пропозиції з обмеженим часом	pl	
Seafood Meals	Страви з морепродуктів	pl	
Star Meals	зіркові страви	pl	1-Star Meals = страви на 1 зірку
Meet and Greet	Зустріч із шанувальниками	f	
Royal Tools	Королівські інструменти	pl	
Royal Tool	Королівський інструмент	m	
Royal Pickaxe	Королівська кирка	f	
Pickaxe	Кирка	f	
Royal Shovel	Королівська лопата	f	
Shovel	Лопата	f	
Royal Watering Can	Королівська лійка	f	
Watering Can	Лійка	f	
Royal Fishing Rod	Королівська вудка	f	
Fishing Rod	Вудка	f	
Royal Net	Королівський сачок	m	
Royal Phone	Королівський телефон	m	
Secret Journal	Таємний щоденник	m	
Time Capsule	Капсула часу	f	
Translation Machine	Перекладальна машина	f	
Enchanted Flower	Зачарована квітка	f	
Dream Spinner	Веретено мрій	n	
Orb of Nurturing	Сфера Плекання	f	
Orb of Remembrance	Сфера Пам'яті	f	
Beach Key	Пляжний ключ	m	
Sea Sand Sparks	Іскри морського піску	pl	
Cash Register Key	Ключ від касового апарата	m	
Winged Boots	Крилаті чоботи	pl	
Contrary Perfume	Парфуми-навпаки	pl	
Spell Pumpkin	Чарівний гарбуз	m	
Substitute Snout	Запасний ніс	m	
Empty Vial	Порожній флакон	m	
Left Handle	Ліва ручка	f	
Right Handle	Права ручка	f	
Trove Clue	Підказка до скарбу	f	
Gilded Stone	Позолочений камінь	m	
Stone Slab	Кам'яна плита	f	
Stone Canvas	Кам'яне полотно	n	
Old Bones	Старі кістки	pl	
Tinkering Parts	Деталі для майстрування	pl	
Iron Ingot	Залізний зливок	m	зливок, never «слиток»
Iron Ingots	Залізні зливки	pl	
Gold Ingots	Золоті зливки	pl	
Wrought Iron	Коване залізо	n	
Dry Wood	Суха деревина	f	
Tropical Wood	Тропічна деревина	f	
Wood	Деревина	f	
Hercules Diary Scrolls	Сувої щоденника Геркулеса	pl	
TripleDent Gum Wrapper	Обгортка жуйки «ТриплДент»	f	
Merchant Papyrus	Папірус торговця	m	
Gaston's Journal	Щоденник Гастона	m	
Jafar's Journal	Щоденник Джафара	m	
Rapunzel's Lyrics	Пісні Рапунцель	pl	
Aurora's Journals	Щоденники Аврори	pl	
Cruella's Journals	Щоденники Круелли	pl	
Three Wildly Jubilant Topiaries	Три шалено радісні топіарії	pl	
Enchanted Pots of Blooming	Зачаровані вазони цвітіння	pl	
Swirling Flower Petal Winds	Вихори квіткових пелюсток	pl	addressed as a character (plural)
Celestial Celebration	Небесне свято	n	
Celestial Base	Небесна підставка	f	figurine base
Purple Base	Фіолетова підставка	f	
Nonsense Party	Вечірка-нісенітниця	f	Alice
Unbirthday Cake	Торт на ненародини	m	"Alice's ""unbirthday"" = ненародини"
Mome Raths	Момрати	pl	Jabberwocky nonsense creatures
Bread and Butterfly	Хлібометелик	m	Alice creature/companion
Festival of Foolishness	Фестиваль Дурощів	m	
Capture the Sun	Захопи Сонце	-	quest title
Circle of Life	Коло життя	n	
Timon Talk	«Тімонові теревені»	pl	Timon's talk show
Monster Movie Night	Вечір фільмів про монстрів	m	
Big Scream TV	Телевізор «Великий Крик»	m	
Big Worry	Велике Хвилювання	n	Inside Out plant
Valley Pirates	Пірати Долини	pl	
Astronomy Club	Астрономічний клуб	m	
Tiny Villagers Society	Товариство крихітних жителів	n	
The Tiny Villagers Society	Товариство крихітних жителів	n	
Shy Villagers Society	Товариство сором'язливих жителів	n	
Advice Box	Скринька порад	f	
Ask Daisy	Запитай Дейзі	-	
Bad-Anon	«Анонімні лиходії»	pl	Wreck-It Ralph villain support group
Frightcade Game	Гра «Жахаркада»	f	fright + arcade pun
Claw Machine	Автомат-хапайка	m	
Game Center	Ігровий центр	m	
Alchemy Table	Алхімічний стіл	m	
Madrigal Table	Стіл Мадригалів	m	Encanto family
Photo Backdrop	Фотофон	m	
Photo Frame	Фоторамка	f	
Compost Bin	Компостер	m	
Hologram Station	Голографічна станція	f	
Hot Dog Cart	Візок із хот-догами	m	
Popcorn Bucket	Відерце попкорну	n	
New Comfort Bear	Новий ведмедик-утішник	m	
Cozy Pillow Fort	Затишна фортеця з подушок	f	
Gingerbread Houses	Пряникові будиночки	pl	
Rustic Clock Tower	Сільська годинникова вежа	f	
Stained Glass Window	Вітражне вікно	n	
Sea Glass Mirror	Дзеркало з морського скла	n	
Moon Headband	Місячний обідок	m	
Masquerade Mask	Маскарадна маска	f	
Mini Flags	Мініпрапорці	pl	
